Customer_ID,Age,Gender,Location,Annual_Income,Purchase_Frequency,Purchase_Amount,Product_Category,Purchase_Channel,Loyalty_Status,Membership_Years,Spending_Score
CUST0001,56,Male,Mumbai,24311.0,9,324.32,Clothing,Online,Basic,4.3,39
CUST0002,46,Female,Mumbai,66202.0,16,600.35,Sports,Online,Gold,0.6,53
CUST0003,32,Male,Kolkata,71493.0,5,220.86,Electronics,Online,Silver,3.0,19
CUST0004,60,Male,Durgapur,42392.0,20,554.02,Clothing,Mixed,Basic,4.6,82
CUST0005,25,Male,Siliguri,80965.0,10,260.45,Groceries,In-Store,Basic,1.3,26
CUST0006,38,Female,Howrah,23462.0,18,412.79,Home & Garden,In-Store,Platinum,4.6,66
CUST0007,56,Male,Bengaluru,63348.0,3,104.02,Sports,Online,Gold,8.6,7
CUST0008,36,Female,Mumbai,34725.0,13,443.81,Groceries,Mixed,Silver,5.9,51
CUST0009,40,Female,Bengaluru,48704.0,11,241.04,Clothing,In-Store,Silver,1.0,34
CUST0010,28,Female,Bardhaman,66185.0,17,761.17,Sports,In-Store,Silver,2.1,65
CUST0011,28,Male,Kolkata,43490.0,13,448.95,Electronics,Online,Basic,4.9,55
CUST0012,41,Male,Mumbai,55386.0,6,263.63,Home & Garden,Mixed,Platinum,3.7,26
CUST0013,53,Male,Bardhaman,90157.0,17,570.31,Clothing,In-Store,Basic,3.7,73
CUST0014,57,Female,Howrah,50578.0,13,464.5,Home & Garden,Mixed,Silver,5.4,59
CUST0015,41,Female,Howrah,85892.0,19,874.09,Sports,Online,Basic,5.9,94
CUST0016,20,Male,Siliguri,36757.0,19,377.97,Groceries,Online,Silver,8.0,67
CUST0017,39,Female,Kharagpur,78245.0,10,296.24,Home & Garden,Online,Silver,3.5,49
CUST0018,19,Male,Siliguri,101039.0,3,195.41,Electronics,Online,Silver,8.1,8
CUST0019,41,Male,Durgapur,18000.0,14,269.37,Clothing,Mixed,Basic,3.5,56
CUST0020,61,Male,Bengaluru,45078.0,19,354.35,Electronics,Online,Silver,0.7,69
CUST0021,47,Male,Delhi,79427.0,5,206.86,Home & Garden,Online,Basic,5.6,23
CUST0022,55,Female,Howrah,59924.0,5,141.18,Groceries,Online,Basic,6.0,23
CUST0023,19,Male,Delhi,74279.0,20,710.84,Groceries,Online,Basic,9.4,74
CUST0024,38,Male,Kolkata,49900.0,17,431.02,Electronics,Online,Gold,7.3,53
CUST0025,50,Male,Asansol,67165.0,10,478.61,Sports,In-Store,Silver,9.2,59
CUST0026,29,Male,Mumbai,61108.0,5,233.12,Sports,In-Store,Silver,9.1,21
CUST0027,39,Male,Kolkata,94195.0,4,223.49,Groceries,Online,Gold,6.1,18
CUST0028,61,Male,Howrah,71361.0,6,285.94,Electronics,Online,Silver,5.4,18
CUST0029,42,Male,Bardhaman,73440.0,4,210.04,Electronics,Online,Silver,5.7,7
CUST0030,44,Female,Bengaluru,54703.0,7,187.97,Electronics,Online,Basic,9.8,26
CUST0031,59,Female,Delhi,52810.0,7,315.27,Home & Garden,In-Store,Basic,7.8,28
CUST0032,45,Female,Siliguri,54186.0,18,724.0,Sports,In-Store,Silver,1.2,76
CUST0033,33,Female,Asansol,74861.0,3,196.33,Sports,In-Store,Silver,7.8,16
CUST0034,32,Male,Kharagpur,54475.0,1,88.99,Home & Garden,In-Store,Gold,1.9,26
CUST0035,64,Female,Kolkata,72244.0,4,331.61,Clothing,Online,Gold,4.6,14
CUST0036,61,Female,Kharagpur,116885.0,6,285.9,Home & Garden,Mixed,Basic,2.3,40
CUST0037,20,Female,Delhi,86778.0,9,418.37,Electronics,In-Store,Basic,7.0,53
CUST0038,54,Male,Delhi,56849.0,14,292.4,Home & Garden,Mixed,Silver,8.8,55
CUST0039,24,Female,Mumbai,95030.0,12,577.98,Electronics,Online,Basic,3.0,53
CUST0040,38,Female,Bardhaman,54798.0,20,487.58,Groceries,Mixed,Basic,1.0,62
CUST0041,26,Male,Bardhaman,18000.0,4,97.85,Electronics,In-Store,Gold,3.1,18
CUST0042,56,Female,Durgapur,39798.0,12,264.63,Sports,In-Store,Basic,6.8,51
CUST0043,35,Male,Siliguri,18230.0,10,171.53,Home & Garden,Online,Platinum,3.4,48
CUST0044,21,Female,Howrah,56212.0,7,252.84,Electronics,In-Store,Gold,2.9,21
CUST0045,42,Male,Howrah,65460.0,3,119.87,Clothing,Mixed,Gold,2.0,11
CUST0046,31,Female,Delhi,106911.0,14,741.67,Groceries,In-Store,Basic,5.1,58
CUST0047,26,Female,Kolkata,73173.0,10,411.61,Clothing,In-Store,Basic,2.9,38
